"","CountryCode","Rank","Country","USD"
"2","USA",1,"United States",16244600
"3","CHN",2,"China",8227103
"4","JPN",3,"Japan",5959718
"5","DEU",4,"Germany",3428131
"6","FRA",5,"France",2612878
"7","GBR",6,"United Kingdom",2471784
"8","BRA",7,"Brazil",2252664
"9","RUS",8,"Russian Federation",2014775
"10","ITA",9,"Italy",2014670
"11","IND",10,"India",1841710
"12","CAN",11,"Canada",1821424
"13","AUS",12,"Australia",1532408
"14","ESP",13,"Spain",1322965
"15","MEX",14,"Mexico",1178126
"16","KOR",15,"Korea, Rep.",1129598
"17","IDN",16,"Indonesia",878043
"18","TUR",17,"Turkey",789257
"19","NLD",18,"Netherlands",770555
"20","SAU",19,"Saudi Arabia",711050
"21","CHE",20,"Switzerland",631173
"22","SWE",21,"Sweden",523806
"23","IRN",22,"Iran, Islamic Rep.",514060
"24","NOR",23,"Norway",499667
"25","POL",24,"Poland",489795
"26","BEL",25,"Belgium",483262
"27","ARG",26,"Argentina",475502
"28","AUT",27,"Austria",394708
"29","ZAF",28,"South Africa",384313
"30","VEN",29,"Venezuela, RB",381286
"31","COL",30,"Colombia",369606
"32","THA",31,"Thailand",365966
"33","ARE",32,"United Arab Emirates",348595
"34","DNK",33,"Denmark",314887
"35","MYS",34,"Malaysia",305033
"36","SGP",35,"Singapore",274701
"37","CHL",36,"Chile",269869
"38","HKG",37,"Hong Kong SAR, China",263259
"39","EGY",38,"Egypt, Arab Rep.",262832
"40","NGA",39,"Nigeria",262597
"41","ISR",40,"Israel",258217
"42","PHL",41,"Philippines",250182
"43","GRC",42,"Greece",249099
"44","FIN",43,"Finland",247546
"45","PAK",44,"Pakistan",225143
"46","PRT",45,"Portugal",212274
"47","IRL",46,"Ireland",210771
"48","IRQ",47,"Iraq",210280
"49","DZA",48,"Algeria",205789
"50","PER",49,"Peru",203790
"51","KAZ",50,"Kazakhstan",203521
"52","CZE",51,"Czech Republic",196446
"53","ROM",52,"Romania",192711
